Resident Evil: Retribution,2012-12-21,25.0,Action & Adventure,R
The Bourne Legacy,2012-12-11,25.0,Mystery & Suspense,PG-13
Ted,2012-12-11,25.0,Comedy,R
Dredd,2013-01-08,25.0,Action & Adventure,R
Premium Rush,2012-12-21,25.0,Drama,PG-13
Taken 2,2013-01-15,25.0,Mystery & Suspense,PG-13
Seven Psychopaths,2013-01-29,25.0,Comedy,R
Paranormal Activity 4,2013-01-29,25.0,Horror,R
The Perks of Being a Wallflower,2013-02-12,25.0,Drama,PG-13
The Imposter,2013-01-22,25.0,Documentary,R
Ice Age: Continental Drift,2012-12-11,25.0,Action & Adventure,PG
Looper,2012-12-31,25.0,Action & Adventure,R
Flight,2013-02-05,25.0,Drama,R
Killer Joe,2012-12-21,25.0,Mystery & Suspense,R
Total Recall,2012-12-18,25.0,Action & Adventure,PG-13
Hotel Transylvania,2013-01-29,25.0,Animation,PG
Frankenweenie,2013-01-08,25.0,Horror,PG
The Possession,2013-01-15,25.0,Mystery & Suspense,PG-13
End of Watch,2013-01-22,25.0,Drama,R
Pitch Perfect,2012-12-18,25.0,Musical & Performing Arts,PG-13
House at the End of the Street,2013-01-08,25.0,Mystery & Suspense,PG-13
The Words,2012-12-24,25.0,Mystery & Suspense,PG-13
Diary of a Wimpy Kid: Dog Days,2012-12-18,25.0,Comedy,PG
Arbitrage,2012-12-21,25.0,Mystery & Suspense,R
Here Comes the Boom,2013-02-05,25.0,Action & Adventure,PG
The Man With the Iron Fists,2013-02-12,25.0,Action & Adventure,R
Cosmopolis,2013-01-01,25.0,Drama,R
Alex Cross,2013-02-05,25.0,Mystery & Suspense,PG-13
Trouble with the Curve,2012-12-21,25.0,Drama,PG-13
Bully,2013-02-12,25.0,Documentary,PG-13
Silent Hill: Revelation,2013-02-12,25.0,Mystery & Suspense,R
Hit & Run,2013-01-08,25.0,Action & Adventure,R
Sleepwalk With Me,2012-12-18,25.0,Drama,PG-13
Won't Back Down,2013-01-15,25.0,Drama,PG
To Rome with Love,2013-01-15,25.0,Comedy,R
The Cold Light of Day,2013-01-29,25.0,Mystery & Suspense,PG-13
Celeste and Jesse Forever,2013-02-05,25.0,Drama,R
The Sessions,2013-02-12,25.0,Drama,R
Robot & Frank,2013-02-12,25.0,Drama,PG-13
The Awakening,2013-01-29,25.0,Horror,R
The Paperboy,2013-01-22,25.0,Drama,R
10 Years,2012-12-18,25.0,Drama,PG-13
Searching for Sugar Man,2013-01-22,25.0,Musical & Performing Arts,PG-13
Stolen,2013-01-08,25.0,Drama,R
Compliance,2013-01-08,25.0,Drama,R
Samsara,2013-01-08,25.0,Documentary,PG-13
Farewell, My Queen,2013-01-15,25.0,Art House & International,R
Universal Soldier: Day of Reckoning,2013-01-22,25.0,Action & Adventure,R
Branded,2013-01-15,25.0,Drama,R
Pina,2013-01-22,25.0,Musical & Performing Arts,PG
